Configuration,Cache_Line_Size,L1I_Size,L1I_Assoc,L1D_Size,L1D_Assoc,L2_Size,L2_Assoc,sim_seconds,CPI,L1D_Miss_Rate,L1I_Miss_Rate,L2_Miss_Rate,sim_insts
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da2_l2256kB_l2a8,128,16kB,2,16kB,2,256kB,8,0.019931,1.993092,0.030482,0.001392,0.996040,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da2_l22MB_l2a4,128,16kB,2,16kB,2,2MB,4,0.019814,1.981413,0.030482,0.001392,0.996040,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da2_l22MB_l2a8,128,16kB,2,16kB,2,2MB,8,0.019814,1.981413,0.030482,0.001392,0.996040,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da2_l2512kB_l2a4,128,16kB,2,16kB,2,512kB,4,0.019915,1.991535,0.030482,0.001392,0.996040,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da2_l2512kB_l2a8,128,16kB,2,16kB,2,512kB,8,0.019915,1.991535,0.030482,0.001392,0.996040,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l21MB_l2a4,128,16kB,2,16kB,4,1MB,4,0.019884,1.988424,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l21MB_l2a8,128,16kB,2,16kB,4,1MB,8,0.019884,1.988424,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l2256kB_l2a4,128,16kB,2,16kB,4,256kB,4,0.019931,1.993092,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l2256kB_l2a8,128,16kB,2,16kB,4,256kB,8,0.019931,1.993092,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l22MB_l2a4,128,16kB,2,16kB,4,2MB,4,0.019814,1.981413,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l22MB_l2a8,128,16kB,2,16kB,4,2MB,8,0.019814,1.981413,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l2512kB_l2a4,128,16kB,2,16kB,4,512kB,4,0.019915,1.991535,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d16kB_l1da4_l2512kB_l2a8,128,16kB,2,16kB,4,512kB,8,0.019915,1.991535,0.030479,0.001392,0.996213,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l21MB_l2a4,128,16kB,2,32kB,2,1MB,4,0.019884,1.988424,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l21MB_l2a8,128,16kB,2,32kB,2,1MB,8,0.019884,1.988424,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l2256kB_l2a4,128,16kB,2,32kB,2,256kB,4,0.019931,1.993092,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l2256kB_l2a8,128,16kB,2,32kB,2,256kB,8,0.019931,1.993092,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l22MB_l2a4,128,16kB,2,32kB,2,2MB,4,0.019814,1.981413,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l22MB_l2a8,128,16kB,2,32kB,2,2MB,8,0.019814,1.981413,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l2512kB_l2a4,128,16kB,2,32kB,2,512kB,4,0.019915,1.991535,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da2_l2512kB_l2a8,128,16kB,2,32kB,2,512kB,8,0.019915,1.991535,0.030479,0.001392,0.996253,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l21MB_l2a4,128,16kB,2,32kB,4,1MB,4,0.019884,1.988424,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l21MB_l2a8,128,16kB,2,32kB,4,1MB,8,0.019884,1.988424,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l2256kB_l2a4,128,16kB,2,32kB,4,256kB,4,0.019931,1.993092,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l2256kB_l2a8,128,16kB,2,32kB,4,256kB,8,0.019931,1.993092,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l22MB_l2a4,128,16kB,2,32kB,4,2MB,4,0.019814,1.981413,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l22MB_l2a8,128,16kB,2,32kB,4,2MB,8,0.019814,1.981413,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l2512kB_l2a4,128,16kB,2,32kB,4,512kB,4,0.019915,1.991535,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d32kB_l1da4_l2512kB_l2a8,128,16kB,2,32kB,4,512kB,8,0.019915,1.991535,0.030477,0.001392,0.996319,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l21MB_l2a4,128,16kB,2,64kB,2,1MB,4,0.019884,1.988424,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l21MB_l2a8,128,16kB,2,64kB,2,1MB,8,0.019884,1.988424,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l2256kB_l2a4,128,16kB,2,64kB,2,256kB,4,0.019931,1.993092,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l2256kB_l2a8,128,16kB,2,64kB,2,256kB,8,0.019931,1.993092,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l22MB_l2a4,128,16kB,2,64kB,2,2MB,4,0.019814,1.981413,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l22MB_l2a8,128,16kB,2,64kB,2,2MB,8,0.019814,1.981413,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l2512kB_l2a4,128,16kB,2,64kB,2,512kB,4,0.019915,1.991535,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da2_l2512kB_l2a8,128,16kB,2,64kB,2,512kB,8,0.019915,1.991535,0.030477,0.001392,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l21MB_l2a4,128,16kB,2,64kB,4,1MB,4,0.019884,1.988424,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l21MB_l2a8,128,16kB,2,64kB,4,1MB,8,0.019884,1.988424,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l2256kB_l2a4,128,16kB,2,64kB,4,256kB,4,0.019931,1.993092,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l2256kB_l2a8,128,16kB,2,64kB,4,256kB,8,0.019931,1.993092,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l22MB_l2a4,128,16kB,2,64kB,4,2MB,4,0.019814,1.981413,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l22MB_l2a8,128,16kB,2,64kB,4,2MB,8,0.019814,1.981413,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l2512kB_l2a4,128,16kB,2,64kB,4,512kB,4,0.019915,1.991535,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia2_l1d64kB_l1da4_l2512kB_l2a8,128,16kB,2,64kB,4,512kB,8,0.019915,1.991535,0.030477,0.001392,0.996346,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l21MB_l2a4,128,16kB,4,128kB,2,1MB,4,0.019884,1.988424,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l21MB_l2a8,128,16kB,4,128kB,2,1MB,8,0.019884,1.988424,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l2256kB_l2a4,128,16kB,4,128kB,2,256kB,4,0.020051,2.005116,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l2256kB_l2a8,128,16kB,4,128kB,2,256kB,8,0.020043,2.004252,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l22MB_l2a4,128,16kB,4,128kB,2,2MB,4,0.019814,1.981413,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l22MB_l2a8,128,16kB,4,128kB,2,2MB,8,0.019814,1.981413,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l2512kB_l2a4,128,16kB,4,128kB,2,512kB,4,0.019915,1.991535,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da2_l2512kB_l2a8,128,16kB,4,128kB,2,512kB,8,0.019915,1.991535,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l21MB_l2a4,128,16kB,4,128kB,4,1MB,4,0.019884,1.988424,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l21MB_l2a8,128,16kB,4,128kB,4,1MB,8,0.019884,1.988424,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l2256kB_l2a4,128,16kB,4,128kB,4,256kB,4,0.020051,2.005116,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l2256kB_l2a8,128,16kB,4,128kB,4,256kB,8,0.020051,2.005116,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l22MB_l2a4,128,16kB,4,128kB,4,2MB,4,0.019814,1.981413,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l22MB_l2a8,128,16kB,4,128kB,4,2MB,8,0.019814,1.981413,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l2512kB_l2a4,128,16kB,4,128kB,4,512kB,4,0.019915,1.991535,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d128kB_l1da4_l2512kB_l2a8,128,16kB,4,128kB,4,512kB,8,0.019915,1.991535,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l21MB_l2a4,128,16kB,4,16kB,2,1MB,4,0.019884,1.988424,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l21MB_l2a8,128,16kB,4,16kB,2,1MB,8,0.019884,1.988424,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l2256kB_l2a4,128,16kB,4,16kB,2,256kB,4,0.019931,1.993096,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l2256kB_l2a8,128,16kB,4,16kB,2,256kB,8,0.019931,1.993096,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l22MB_l2a4,128,16kB,4,16kB,2,2MB,4,0.019814,1.981413,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l22MB_l2a8,128,16kB,4,16kB,2,2MB,8,0.019814,1.981413,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l2512kB_l2a4,128,16kB,4,16kB,2,512kB,4,0.019915,1.991535,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da2_l2512kB_l2a8,128,16kB,4,16kB,2,512kB,8,0.019915,1.991535,0.030482,0.001373,0.996160,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l21MB_l2a4,128,16kB,4,16kB,4,1MB,4,0.019884,1.988424,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l21MB_l2a8,128,16kB,4,16kB,4,1MB,8,0.019884,1.988424,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l2256kB_l2a4,128,16kB,4,16kB,4,256kB,4,0.019931,1.993092,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l2256kB_l2a8,128,16kB,4,16kB,4,256kB,8,0.019931,1.993092,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l22MB_l2a4,128,16kB,4,16kB,4,2MB,4,0.019814,1.981413,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l22MB_l2a8,128,16kB,4,16kB,4,2MB,8,0.019814,1.981413,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l2512kB_l2a4,128,16kB,4,16kB,4,512kB,4,0.019915,1.991535,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d16kB_l1da4_l2512kB_l2a8,128,16kB,4,16kB,4,512kB,8,0.019915,1.991535,0.030479,0.001373,0.996332,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l21MB_l2a4,128,16kB,4,32kB,2,1MB,4,0.019884,1.988424,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l21MB_l2a8,128,16kB,4,32kB,2,1MB,8,0.019884,1.988424,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l2256kB_l2a4,128,16kB,4,32kB,2,256kB,4,0.019931,1.993092,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l2256kB_l2a8,128,16kB,4,32kB,2,256kB,8,0.019931,1.993092,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l22MB_l2a4,128,16kB,4,32kB,2,2MB,4,0.019814,1.981413,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l22MB_l2a8,128,16kB,4,32kB,2,2MB,8,0.019814,1.981413,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l2512kB_l2a4,128,16kB,4,32kB,2,512kB,4,0.019915,1.991535,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da2_l2512kB_l2a8,128,16kB,4,32kB,2,512kB,8,0.019915,1.991535,0.030478,0.001373,0.996372,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l21MB_l2a4,128,16kB,4,32kB,4,1MB,4,0.019884,1.988424,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l21MB_l2a8,128,16kB,4,32kB,4,1MB,8,0.019884,1.988424,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l2256kB_l2a4,128,16kB,4,32kB,4,256kB,4,0.019931,1.993092,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l2256kB_l2a8,128,16kB,4,32kB,4,256kB,8,0.019931,1.993092,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l22MB_l2a4,128,16kB,4,32kB,4,2MB,4,0.019814,1.981413,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l22MB_l2a8,128,16kB,4,32kB,4,2MB,8,0.019814,1.981413,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l2512kB_l2a4,128,16kB,4,32kB,4,512kB,4,0.019915,1.991535,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d32kB_l1da4_l2512kB_l2a8,128,16kB,4,32kB,4,512kB,8,0.019915,1.991535,0.030477,0.001373,0.996439,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l21MB_l2a4,128,16kB,4,64kB,2,1MB,4,0.019884,1.988424,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l21MB_l2a8,128,16kB,4,64kB,2,1MB,8,0.019884,1.988424,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l2256kB_l2a4,128,16kB,4,64kB,2,256kB,4,0.019931,1.993092,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l2256kB_l2a8,128,16kB,4,64kB,2,256kB,8,0.019931,1.993092,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l22MB_l2a4,128,16kB,4,64kB,2,2MB,4,0.019814,1.981413,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l22MB_l2a8,128,16kB,4,64kB,2,2MB,8,0.019814,1.981413,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l2512kB_l2a4,128,16kB,4,64kB,2,512kB,4,0.019915,1.991535,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da2_l2512kB_l2a8,128,16kB,4,64kB,2,512kB,8,0.019915,1.991535,0.030477,0.001373,0.996452,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l21MB_l2a4,128,16kB,4,64kB,4,1MB,4,0.019884,1.988424,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l21MB_l2a8,128,16kB,4,64kB,4,1MB,8,0.019884,1.988424,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l2256kB_l2a4,128,16kB,4,64kB,4,256kB,4,0.019931,1.993092,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l2256kB_l2a8,128,16kB,4,64kB,4,256kB,8,0.019931,1.993092,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l22MB_l2a4,128,16kB,4,64kB,4,2MB,4,0.019814,1.981413,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l22MB_l2a8,128,16kB,4,64kB,4,2MB,8,0.019814,1.981413,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l2512kB_l2a4,128,16kB,4,64kB,4,512kB,4,0.019915,1.991535,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i16kB_l1ia4_l1d64kB_l1da4_l2512kB_l2a8,128,16kB,4,64kB,4,512kB,8,0.019915,1.991535,0.030477,0.001373,0.996465,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l21MB_l2a4,128,32kB,2,128kB,2,1MB,4,0.019876,1.987646,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l21MB_l2a8,128,32kB,2,128kB,2,1MB,8,0.019876,1.987646,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l2256kB_l2a4,128,32kB,2,128kB,2,256kB,4,0.020048,2.004836,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l2256kB_l2a8,128,32kB,2,128kB,2,256kB,8,0.020042,2.004185,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l22MB_l2a4,128,32kB,2,128kB,2,2MB,4,0.019814,1.981413,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l22MB_l2a8,128,32kB,2,128kB,2,2MB,8,0.019814,1.981413,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l2512kB_l2a4,128,32kB,2,128kB,2,512kB,4,0.019915,1.991535,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da2_l2512kB_l2a8,128,32kB,2,128kB,2,512kB,8,0.019915,1.991535,0.030477,0.001102,0.997996,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l21MB_l2a4,128,32kB,2,128kB,4,1MB,4,0.019876,1.987646,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l21MB_l2a8,128,32kB,2,128kB,4,1MB,8,0.019876,1.987646,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l2256kB_l2a4,128,32kB,2,128kB,4,256kB,4,0.020048,2.004836,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l2256kB_l2a8,128,32kB,2,128kB,4,256kB,8,0.020048,2.004836,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l22MB_l2a4,128,32kB,2,128kB,4,2MB,4,0.019814,1.981413,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l22MB_l2a8,128,32kB,2,128kB,4,2MB,8,0.019814,1.981413,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l2512kB_l2a4,128,32kB,2,128kB,4,512kB,4,0.019915,1.991535,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d128kB_l1da4_l2512kB_l2a8,128,32kB,2,128kB,4,512kB,8,0.019915,1.991535,0.030477,0.001102,0.998009,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l21MB_l2a4,128,32kB,2,16kB,2,1MB,4,0.019876,1.987646,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l21MB_l2a8,128,32kB,2,16kB,2,1MB,8,0.019876,1.987646,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l2256kB_l2a4,128,32kB,2,16kB,2,256kB,4,0.019931,1.993096,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l2256kB_l2a8,128,32kB,2,16kB,2,256kB,8,0.019931,1.993096,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l22MB_l2a4,128,32kB,2,16kB,2,2MB,4,0.019814,1.981413,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l22MB_l2a8,128,32kB,2,16kB,2,2MB,8,0.019814,1.981413,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l2512kB_l2a4,128,32kB,2,16kB,2,512kB,4,0.019915,1.991535,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da2_l2512kB_l2a8,128,32kB,2,16kB,2,512kB,8,0.019915,1.991535,0.030482,0.001102,0.997703,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l21MB_l2a4,128,32kB,2,16kB,4,1MB,4,0.019876,1.987646,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l21MB_l2a8,128,32kB,2,16kB,4,1MB,8,0.019876,1.987646,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l2256kB_l2a4,128,32kB,2,16kB,4,256kB,4,0.019931,1.993096,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l2256kB_l2a8,128,32kB,2,16kB,4,256kB,8,0.019931,1.993096,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l22MB_l2a4,128,32kB,2,16kB,4,2MB,4,0.019814,1.981413,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l22MB_l2a8,128,32kB,2,16kB,4,2MB,8,0.019814,1.981413,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l2512kB_l2a4,128,32kB,2,16kB,4,512kB,4,0.019915,1.991535,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d16kB_l1da4_l2512kB_l2a8,128,32kB,2,16kB,4,512kB,8,0.019915,1.991535,0.030479,0.001102,0.997876,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d32kB_l1da2_l21MB_l2a4,128,32kB,2,32kB,2,1MB,4,0.019876,1.987646,0.030479,0.001102,0.997916,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d32kB_l1da2_l21MB_l2a8,128,32kB,2,32kB,2,1MB,8,0.019876,1.987646,0.030479,0.001102,0.997916,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d32kB_l1da2_l2256kB_l2a4,128,32kB,2,32kB,2,256kB,4,0.019931,1.993096,0.030479,0.001102,0.997916,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d32kB_l1da2_l2256kB_l2a8,128,32kB,2,32kB,2,256kB,8,0.019931,1.993096,0.030479,0.001102,0.997916,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d32kB_l1da2_l22MB_l2a4,128,32kB,2,32kB,2,2MB,4,0.019814,1.981413,0.030479,0.001102,0.997916,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d32kB_l1da2_l22MB_l2a8,128,32kB,2,32kB,2,2MB,8,0.019814,1.981413,0.030479,0.001102,0.997916,10000000
speclibm_cl128_l1i32kB_l1ia2_l1d32kB_l1da2_l2512kB_l2a4,128,32kB,2,32kB,2,512kB,4,0.019915,1.991535,0.030479,0.001102,0.997916,10000000
